iter	Passed	Remaining
0	141	141848
1	143	71456
2	144	47973
3	145	36210
4	146	29163
5	147	24452
6	148	21090
7	149	18573
8	150	16609
9	151	15044
10	153	13786
11	154	12717
12	155	11810
13	156	11032
14	157	10369
15	159	9781
16	160	9259
17	161	8793
18	162	8379
19	163	8004
20	164	7677
21	165	7369
22	166	7089
23	167	6831
24	169	6592
25	170	6385
26	171	6186
27	172	5996
28	173	5818
29	174	5653
30	175	5499
31	177	5358
32	178	5228
33	179	5101
34	180	4985
35	182	4879
36	183	4774
37	184	4670
38	185	4571
39	186	4477
40	187	4389
41	188	4310
42	190	4229
43	191	4151
44	192	4078
45	193	4007
46	194	3945
47	195	3881
48	196	3820
49	197	3760
50	199	3703
51	200	3648
52	201	3597
53	202	3546
54	203	3497
55	204	3449
56	205	3403
57	207	3368
58	208	3331
59	209	3289
60	210	3247
61	212	3208
62	213	3171
63	214	3136
64	215	3101
65	216	3065
66	217	3031
67	218	2991
68	219	2961
69	220	2930
70	221	2900
71	222	2871
72	223	2842
73	224	2814
74	226	2788
75	227	2761
76	228	2735
77	229	2710
78	230	2685
79	231	2662
80	232	2639
81	233	2615
82	234	2593
83	235	2573
84	236	2549
85	239	2546
86	240	2523
87	241	2503
88	242	2484
89	244	2468
90	245	2451
91	246	2432
92	247	2413
93	248	2396
94	250	2382
95	251	2365
96	252	2349
97	253	2331
98	254	2315
99	255	2299
100	256	2286
101	257	2268
102	258	2254
103	260	2241
104	261	2228
105	262	2216
106	264	2203
107	265	2190
108	266	2177
109	267	2164
110	268	2152
111	269	2139
112	270	2126
113	272	2114
114	273	2101
115	274	2089
116	275	2077
117	276	2066
118	277	2055
119	279	2046
120	280	2036
121	281	2026
122	282	2014
123	283	2004
124	284	1994
125	286	1985
126	287	1975
127	288	1962
128	289	1953
129	290	1943
130	291	1935
131	292	1926
132	294	1918
133	295	1909
134	296	1900
135	297	1892
136	299	1885
137	300	1875
138	301	1866
139	302	1858
140	303	1850
141	305	1845
142	306	1838
143	308	1831
144	309	1824
145	310	1817
146	311	1809
147	312	1801
148	314	1793
149	315	1785
150	316	1777
151	317	1771
152	318	1764
153	319	1757
154	321	1750
155	322	1743
156	323	1738
157	325	1732
158	326	1725
159	327	1718
160	328	1712
161	329	1706
162	330	1699
163	332	1692
164	333	1686
165	334	1679
166	335	1673
167	336	1666
168	337	1660
169	338	1653
170	339	1647
171	340	1640
172	341	1634
173	343	1628
174	344	1621
175	345	1615
176	346	1609
177	348	1609
178	349	1604
179	350	1598
180	351	1589
181	352	1583
182	353	1578
183	354	1573
184	355	1568
185	357	1562
186	358	1556
187	359	1551
188	360	1545
189	361	1540
190	362	1535
191	363	1529
192	364	1524
193	365	1519
194	366	1514
195	367	1508
196	368	1503
197	369	1498
198	370	1493
199	372	1488
200	373	1483
201	374	1478
202	375	1475
203	377	1471
204	378	1468
205	379	1464
206	380	1459
207	382	1454
208	383	1449
209	384	1445
210	385	1441
211	386	1437
212	387	1432
213	388	1428
214	390	1424
215	391	1420
216	392	1415
217	393	1411
218	394	1406
219	395	1402
220	396	1398
221	397	1393
222	398	1389
223	399	1385
224	400	1380
225	401	1376
226	403	1372
227	404	1368
228	405	1364
229	406	1360
230	407	1355
231	408	1351
232	409	1348
233	410	1344
234	411	1340
235	412	1336
236	413	1332
237	414	1328
238	416	1324
239	417	1321
240	418	1318
241	419	1314
242	421	1311
243	422	1308
244	423	1305
245	424	1301
246	425	1297
247	426	1293
248	427	1290
249	428	1286
250	430	1283
251	431	1279
252	432	1276
253	433	1272
254	434	1269
255	435	1266
256	436	1262
257	437	1259
258	438	1255
259	440	1252
260	441	1249
261	442	1245
262	443	1242
263	444	1238
264	445	1236
265	446	1233
266	448	1231
267	449	1227
268	450	1224
269	452	1224
270	454	1221
271	455	1218
272	456	1214
273	457	1211
274	458	1209
275	460	1206
276	461	1203
277	462	1200
278	463	1197
279	464	1194
280	465	1191
281	466	1188
282	467	1185
283	469	1182
284	470	1179
285	471	1176
286	472	1174
287	473	1171
288	474	1168
289	475	1165
290	477	1162
291	478	1159
292	479	1156
293	480	1153
294	481	1150
295	482	1147
296	483	1144
297	484	1141
298	485	1138
299	487	1136
300	488	1133
301	490	1132
302	491	1129
303	492	1126
304	493	1123
305	494	1121
306	495	1118
307	497	1117
308	498	1114
309	499	1111
310	500	1108
311	501	1106
312	502	1103
313	503	1100
314	504	1097
315	505	1095
316	507	1092
317	508	1089
318	509	1087
319	510	1084
320	511	1081
321	512	1078
322	513	1076
323	514	1073
324	515	1071
325	516	1068
326	517	1065
327	518	1063
328	520	1062
329	522	1059
330	523	1057
331	524	1054
332	525	1051
333	526	1049
334	527	1047
335	528	1044
336	530	1042
337	531	1040
338	532	1038
339	533	1035
340	534	1033
341	536	1031
342	537	1029
343	538	1026
344	539	1024
345	540	1021
346	541	1019
347	542	1016
348	543	1014
349	544	1011
350	545	1009
351	546	1006
352	548	1004
353	549	1002
354	550	999
355	551	997
356	552	994
357	553	992
358	554	990
359	555	988
360	556	985
361	557	983
362	558	980
363	560	978
364	561	976
365	562	974
366	563	972
367	565	970
368	566	969
369	568	967
370	569	965
371	570	963
372	571	960
373	572	958
374	573	956
375	575	954
376	576	952
377	577	950
378	578	948
379	579	945
380	580	943
381	581	941
382	582	939
383	583	936
384	585	935
385	586	932
386	587	930
387	588	928
388	589	926
389	591	924
390	592	922
391	593	920
392	594	918
393	595	916
394	597	914
395	598	912
396	599	910
397	600	908
398	601	905
399	602	903
400	603	902
401	605	900
402	606	898
403	607	896
404	608	894
405	610	892
406	611	890
407	612	888
408	613	886
409	614	884
410	615	882
411	616	880
412	617	878
413	619	876
414	620	874
415	622	873
416	623	872
417	624	870
418	626	868
419	627	866
420	628	864
421	630	863
422	631	861
423	632	859
424	634	857
425	635	856
426	636	854
427	637	852
428	638	850
429	639	848
430	641	846
431	642	844
432	643	842
433	644	840
434	645	838
435	647	837
436	648	835
437	649	833
438	650	831
439	651	829
440	653	828
441	654	826
442	656	824
443	657	822
444	658	820
445	659	819
446	660	817
447	662	816
448	663	814
449	664	812
450	665	810
451	667	808
452	668	806
453	669	804
454	670	802
455	671	801
456	672	799
457	673	797
458	674	795
459	676	793
460	677	791
461	678	790
462	679	788
463	680	786
